datetime,open,high,low,close,volume,openinterest
2020-02-21,72.81,74.94,72.33,73.49,6981772,0
2020-02-24,73.94,80.69,73.94,79.97,10833304,0
2020-02-25,77.89,81.16,75.20,78.53,10231217,0
2020-02-26,77.73,79.66,73.31,74.58,8711027,0
2020-02-27,74.55,75.25,72.04,72.95,6067632,0
2020-02-28,69.96,70.99,66.88,67.71,7308265,0
2020-03-02,68.67,69.93,65.36,69.10,13751534,0
2020-03-03,70.13,71.89,67.78,68.64,8958875,0
2020-03-04,66.37,67.62,65.44,66.81,9229918,0
2020-03-05,68.23,68.54,66.65,68.20,5702637,0
2020-03-06,67.35,69.26,66.85,68.55,4824440,0
2020-03-09,67.24,68.06,65.40,65.50,5703898,0
2020-03-10,65.36,67.91,64.25,67.85,7800319,0
2020-03-11,68.06,69.54,66.63,66.97,6797257,0
2020-03-12,65.63,66.97,65.40,66.05,4125247,0
2020-03-13,62.22,65.41,62.19,64.73,5705114,0
2020-03-16,65.36,66.63,62.65,62.67,6632349,0
2020-03-17,65.79,67.24,63.29,66.85,11013820,0
2020-03-18,68.86,71.75,67.30,67.90,10738232,0
2020-03-19,67.55,70.73,67.55,69.99,10607227,0
2020-03-20,71.15,71.15,67.91,69.33,8413040,0
2020-03-23,66.81,67.62,63.32,63.55,6472881,0
2020-03-24,65.25,65.60,60.55,63.80,8011468,0
2020-03-25,65.14,65.65,63.47,65.07,5535108,0
2020-03-26,64.32,64.54,63.15,63.35,2986407,0
2020-03-27,63.90,64.75,63.18,63.61,3573666,0
2020-03-30,62.36,64.99,61.72,64.37,3801628,0
2020-03-31,65.12,65.49,63.35,63.54,2968149,0
2020-04-01,63.55,65.09,62.61,63.29,3461219,0
2020-04-02,62.74,65.09,62.68,65.07,4432232,0
2020-04-03,64.63,64.63,63.09,63.09,3460139,0
2020-04-07,64.59,64.77,63.66,64.38,3465494,0
2020-04-08,63.90,65.49,63.80,64.88,2966803,0
2020-04-09,65.12,66.56,65.04,65.99,3906431,0
2020-04-10,66.07,66.27,63.76,64.12,3439805,0
2020-04-13,63.41,64.54,63.32,64.43,1709738,0
2020-04-14,64.47,66.75,64.47,66.43,4077391,0
2020-04-15,66.52,67.97,66.20,66.31,4272121,0
2020-04-16,66.52,67.29,65.72,66.92,2476330,0
2020-04-17,67.39,68.62,66.62,66.72,4255946,0
2020-04-20,67.03,67.74,66.37,67.17,2789594,0
2020-04-21,66.59,67.35,65.56,66.55,3034269,0
2020-04-22,66.34,69.60,65.94,69.49,7119864,0
2020-04-23,70.29,74.80,70.28,71.43,13312887,0
2020-04-24,71.75,72.04,69.15,69.49,4435542,0
2020-04-27,70.18,71.43,68.77,70.28,4604579,0
2020-04-28,69.39,70.42,68.09,69.25,4400014,0
2020-04-29,68.77,72.62,68.77,72.04,5543580,0
2020-04-30,72.70,74.52,71.64,73.02,7940511,0
2020-05-06,72.47,74.43,71.72,73.33,6219649,0
2020-05-07,74.00,74.68,72.11,72.84,5323938,0
2020-05-08,73.34,74.87,72.47,72.62,7699267,0
2020-05-11,72.62,73.14,70.25,70.58,6250386,0
2020-05-12,70.82,73.90,69.94,73.49,7393794,0
2020-05-13,73.49,73.76,72.33,72.79,4400834,0
2020-05-14,72.20,73.40,71.34,72.75,4615883,0
2020-05-15,73.05,74.23,71.16,73.74,5643300,0
2020-05-18,73.42,73.82,69.83,70.26,8158920,0
2020-05-19,70.69,71.99,69.76,71.60,5345424,0
2020-05-20,71.93,74.67,71.02,72.33,6306280,0
2020-05-21,72.69,73.49,68.99,69.20,6343057,0
2020-05-22,69.22,69.89,66.95,67.08,4186780,0
2020-05-25,66.81,67.69,65.79,66.55,2618273,0
2020-05-26,66.85,69.86,66.85,69.08,6037356,0
2020-05-27,68.57,68.88,65.36,66.73,7784704,0
2020-05-28,65.56,66.44,63.86,65.11,6015850,0
2020-05-29,64.38,66.06,64.27,65.38,4208339,0
2020-06-01,66.51,69.27,66.24,68.86,7837003,0
2020-06-02,68.98,69.80,67.53,68.27,5740260,0
2020-06-03,68.37,69.74,67.75,67.96,8212307,0
2020-06-04,68.27,68.80,66.59,66.94,5524171,0
2020-06-05,67.06,67.94,66.34,67.73,4037132,0
2020-06-08,68.08,69.39,68.06,68.37,7562916,0
2020-06-09,68.41,68.94,67.71,68.39,4444524,0
2020-06-10,68.41,68.53,67.24,67.88,4356016,0
2020-06-11,67.96,71.40,67.94,71.03,10601698,0
2020-06-12,69.60,70.09,68.23,68.98,12484433,0
2020-06-15,68.33,68.37,66.03,66.18,9295081,0
2020-06-16,66.83,69.02,66.53,68.78,8724752,0
2020-06-17,68.88,69.25,67.37,68.14,4835755,0
2020-06-18,67.92,69.80,67.63,69.33,6685147,0
2020-06-19,69.33,71.23,68.78,70.42,8820224,0
2020-06-22,70.80,72.56,70.50,72.05,8460084,0
2020-06-23,71.46,72.32,70.62,72.20,6311371,0
2020-06-24,70.82,71.07,69.80,70.62,7821129,0
2020-06-29,70.07,71.40,69.76,71.38,5401854,0
2020-06-30,71.54,73.06,71.54,72.03,5754685,0
2020-07-01,72.26,72.83,70.17,71.60,6784430,0
2020-07-02,71.36,72.67,70.68,71.66,7880325,0
2020-07-03,71.91,74.24,71.62,73.73,13841866,0
2020-07-06,74.30,78.52,74.30,76.80,15925292,0
2020-07-07,77.07,78.95,76.35,76.78,14318982,0
2020-07-08,76.86,78.79,76.35,78.36,11319677,0
2020-07-09,79.01,80.45,77.99,79.42,13764917,0
2020-07-10,78.62,82.68,77.99,80.61,13405567,0
2020-07-13,80.75,83.11,80.75,81.59,13314054,0
2020-07-14,81.02,81.47,77.44,78.34,14887727,0
2020-07-15,79.01,81.63,77.50,78.60,17297981,0
2020-07-16,79.01,79.22,73.28,73.34,13921760,0
2020-07-17,73.69,74.61,71.64,72.67,9445760,0
2020-07-20,73.57,74.71,71.97,74.47,8603595,0
2020-07-21,74.45,75.55,73.73,74.86,7143370,0
2020-07-22,74.86,75.88,74.06,74.47,7230738,0
2020-07-23,74.10,74.10,70.31,72.65,12222460,0
2020-07-24,71.89,73.34,68.78,69.02,10307624,0
2020-07-27,69.11,69.76,68.37,69.56,6099584,0
2020-07-28,69.80,71.34,69.80,70.76,5351462,0
2020-07-29,70.78,72.34,70.44,71.99,7295556,0
2020-07-30,72.01,74.02,71.23,73.28,7964362,0
2020-07-31,72.85,74.39,72.46,73.12,6042480,0
2020-08-03,73.57,74.30,73.12,73.71,6783422,0
2020-08-04,73.69,74.04,72.40,72.59,6112910,0
2020-08-05,73.90,74.37,72.83,73.18,5372359,0
2020-08-06,72.97,73.98,72.22,73.34,6324669,0
2020-08-07,73.20,73.28,70.52,71.89,6196372,0
2020-08-10,71.64,74.14,71.44,73.87,6507711,0
2020-08-11,73.71,74.30,72.42,72.56,5173257,0
2020-08-12,72.79,72.83,70.23,72.05,4678298,0
2020-08-13,72.40,72.65,71.66,71.70,2777815,0
2020-08-14,71.68,72.67,71.03,72.54,2984645,0
2020-08-17,72.77,73.79,72.34,73.69,6100337,0
2020-08-18,73.79,73.79,71.85,72.42,6464754,0
2020-08-19,72.26,72.63,71.13,71.30,5701560,0
2020-08-20,71.87,72.36,70.54,71.01,6495350,0
2020-08-21,71.23,71.68,70.76,71.13,4410112,0
2020-08-24,70.29,70.58,68.41,69.99,7094536,0
2020-08-25,70.42,71.56,70.01,71.03,4694046,0
2020-08-26,71.03,71.15,68.88,69.15,4830396,0
2020-08-27,68.63,70.39,68.57,69.62,2634624,0
2020-08-28,70.11,70.72,69.56,70.58,3061186,0
2020-08-31,70.13,71.42,69.60,69.64,4570386,0
2020-09-01,69.70,72.11,69.31,71.50,6862529,0
2020-09-02,71.44,72.11,71.01,71.30,4200110,0
2020-09-03,71.62,72.34,71.05,71.62,4998667,0
2020-09-04,71.23,73.75,70.85,73.28,7273562,0
2020-09-07,73.26,74.10,71.85,72.38,6499235,0
2020-09-08,72.16,72.46,70.82,72.34,4215183,0
2020-09-09,70.62,71.48,69.04,69.35,5675723,0
2020-09-10,70.09,70.42,68.16,68.18,3365591,0
2020-09-11,68.20,69.06,67.80,68.78,2060171,0
2020-09-14,69.49,69.68,68.37,68.92,2525233,0
2020-09-15,68.94,70.07,68.45,69.51,2617258,0
2020-09-16,69.25,70.09,69.25,69.78,2097973,0
2020-09-17,69.76,71.05,69.21,70.46,3251332,0
2020-09-18,70.66,71.34,70.33,70.82,3405328,0
2020-09-21,70.80,71.03,69.68,70.25,3201362,0
2020-09-22,69.92,70.21,68.72,68.74,2962376,0
2020-09-23,69.15,69.35,67.94,68.10,3060055,0
2020-09-24,67.96,67.96,65.30,65.34,4495579,0
2020-09-25,65.63,66.85,64.91,66.75,3628775,0
2020-09-28,67.10,69.21,66.46,68.08,3822625,0
2020-09-29,68.14,69.27,67.57,67.63,2863364,0
2020-09-30,67.82,69.35,67.65,68.27,3434626,0
2020-10-09,68.98,70.25,68.88,69.62,3036352,0
2020-10-12,69.96,71.56,69.94,71.46,5324604,0
2020-10-13,71.40,71.95,70.97,71.46,3547528,0
2020-10-14,71.50,71.91,70.58,70.89,2847169,0
2020-10-15,71.58,72.20,70.80,70.85,3317110,0
2020-10-16,71.13,71.23,69.92,70.64,2799600,0
2020-10-19,70.82,72.26,70.80,70.87,3722657,0
2020-10-20,71.27,72.52,70.80,72.36,3078652,0
2020-10-21,72.52,73.28,71.75,72.79,4246721,0
2020-10-22,72.79,72.79,70.72,71.64,2959871,0
2020-10-23,71.66,72.32,69.72,69.80,3570810,0
2020-10-26,69.90,70.11,66.89,67.65,3466616,0
2020-10-27,67.55,68.47,67.16,67.71,2055310,0
2020-10-28,67.84,68.65,67.18,68.37,2080681,0
2020-10-29,67.61,68.37,67.24,67.34,2666344,0
2020-10-30,67.37,68.18,65.34,65.54,3990363,0
2020-11-02,65.63,65.63,61.00,63.86,7810655,0
2020-11-03,64.05,64.79,63.25,64.27,2961980,0
2020-11-04,64.40,64.60,62.78,63.07,3601263,0
2020-11-05,63.44,64.97,62.84,64.70,4730016,0
2020-11-06,64.23,65.30,63.91,64.44,3491073,0
2020-11-09,64.72,67.86,64.72,66.91,6313910,0
2020-11-10,66.59,67.55,65.42,67.02,4244304,0
