trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2021-01-28,000612.SZ,7.5,7.95,7.45,7.6,7.75,-0.15,-1.9355,427750.3,330485.328
2021-01-29,000612.SZ,7.74,7.83,6.98,7.11,7.6,-0.49,-6.4474,575346.03,421181.455
2021-02-01,000612.SZ,7.09,7.2,6.83,7.18,7.11,0.07,0.9845,289762.71,203739.038
2021-02-02,000612.SZ,7.18,7.35,6.95,7.22,7.18,0.04,0.5571,324644.52,231480.431
2021-02-03,000612.SZ,7.19,7.54,7.05,7.28,7.22,0.06,0.831,464021.86,341356.894
2021-02-04,000612.SZ,7.2,7.32,6.86,6.88,7.28,-0.4,-5.4945,359925.22,252864.506
2021-02-05,000612.SZ,6.92,7.2,6.71,6.74,6.88,-0.14,-2.0349,303057.31,211622.416
2021-02-08,000612.SZ,6.76,7.06,6.51,7.01,6.74,0.27,4.0059,334612.92,229313.959
2021-02-09,000612.SZ,6.99,7.44,6.96,7.35,7.01,0.34,4.8502,422526.58,308085.236
2021-02-10,000612.SZ,7.37,7.53,7.23,7.36,7.35,0.01,0.1361,396014.78,291537.551
2021-02-18,000612.SZ,7.8,7.92,7.55,7.73,7.36,0.37,5.0272,545791.67,422428.119
2021-02-19,000612.SZ,7.74,8.38,7.69,8.16,7.73,0.43,5.5627,731728.86,586781.218
2021-02-22,000612.SZ,8.38,8.98,8.26,8.48,8.16,0.32,3.9216,1273460.78,1110078.999
2021-02-23,000612.SZ,8.28,8.77,8.25,8.4,8.48,-0.08,-0.9434,946694.82,807270.271
2021-02-24,000612.SZ,8.4,8.62,8.12,8.17,8.4,-0.23,-2.7381,750146.98,624138.934
2021-02-25,000612.SZ,8.5,8.76,8.23,8.3,8.17,0.13,1.5912,871112.98,737903.008
2021-02-26,000612.SZ,7.85,8.08,7.7,7.87,8.3,-0.43,-5.1807,623369.68,492715.868
2021-03-01,000612.SZ,7.91,8.48,7.68,8.33,7.87,0.46,5.845,728229.45,586889.921
2021-03-02,000612.SZ,8.18,8.28,7.9,8.02,8.33,-0.31,-3.7215,596572.68,481819.537
2021-03-03,000612.SZ,8.1,8.44,8.08,8.36,8.02,0.34,4.2394,706022.46,586470.463
2021-03-04,000612.SZ,8.35,8.88,8.25,8.48,8.36,0.12,1.4354,1021853.03,874826.624
2021-03-05,000612.SZ,8.03,8.23,7.86,8.07,8.48,-0.41,-4.8349,675300.27,543364.811
2021-03-08,000612.SZ,8.24,8.58,8.04,8.12,8.07,0.05,0.6196,700164.46,583698.095
2021-03-09,000612.SZ,8.07,8.45,7.61,8.13,8.12,0.01,0.1232,725933.95,584667.656
2021-03-10,000612.SZ,8.19,8.23,7.62,7.8,8.13,-0.33,-4.059,555541.2,434252.424
2021-03-11,000612.SZ,7.98,8.58,7.93,8.58,7.8,0.78,10.0,905147.4,757888.285
2021-03-12,000612.SZ,8.9,9.44,8.84,9.44,8.58,0.86,10.0233,1949069.17,1805039.794
2021-03-15,000612.SZ,9.81,10.38,9.79,10.38,9.44,0.94,9.9576,1561279.46,1581233.931
2021-03-16,000612.SZ,10.87,11.42,10.28,11.42,10.38,1.04,10.0193,3257407.6,3567393.527
2021-03-17,000612.SZ,11.11,11.25,10.28,10.66,11.42,-0.76,-6.655,2288352.01,2462120.198
