	rpp	spp	rtot%	won%	rnorm%	maxDD%	sharpe	comm%	total	net	2012-12	2013-12	2014-12	2015-12	2016-12	2017-12	2018-12	2019-12	2020-12	2021-12	2022-12
16	2	15	0.257	0.194	0.001	87.61	0.328	1.022	248	-1147.60	-0.345	-0.556	-0.277	2.662	0.438	-0.495	0.532	1.410	0.568	-0.700	0.326
84	9	13	0.266	0.099	0.001	83.48	0.195	0.935	223	3626.40	-0.062	-0.164	-0.085	2.198	-0.044	0.052	-0.036	0.108	-0.180	-0.487	0.259
41	5	10	0.303	0.138	0.001	80.37	0.210	0.685	356	35653.60	-0.018	-0.195	-0.178	1.283	0.445	-0.286	0.203	0.131	0.313	-0.458	-0.086
30	3	19	0.345	0.232	0.001	88.00	0.255	0.810	156	16692.80	-0.266	-0.450	-0.217	3.922	1.174	-0.088	-0.072	-0.052	-0.165	-0.499	0.243
53	6	12	0.366	0.138	0.001	77.50	0.249	0.575	277	36502.80	-0.033	-0.185	-0.159	0.975	0.278	-0.441	0.396	0.413	0.449	-0.479	0.037
72	8	11	0.380	0.083	0.001	80.79	0.227	0.597	303	45004.40	-0.112	-0.092	-0.120	2.574	0.218	-0.355	0.001	0.195	0.311	-0.523	-0.018
29	3	18	0.447	0.236	0.001	92.70	0.283	0.798	166	56352.00	-0.232	-0.331	-0.206	14.53	0.168	0.737	-0.291	0.188	-0.536	-0.651	-0.109
57	6	16	0.463	0.142	0.001	82.45	0.235	0.491	191	57294.40	-0.208	-0.217	-0.271	4.883	-0.068	-0.001	-0.357	0.124	0.267	-0.272	-0.037
27	3	16	0.481	0.183	0.001	88.39	0.296	0.718	220	32044.00	-0.217	-0.406	-0.233	2.831	0.946	-0.317	-0.086	1.054	0.011	-0.619	0.230
32	4	11	0.493	0.136	0.001	77.86	0.289	0.604	339	67096.00	-0.026	-0.242	-0.258	1.710	2.075	-0.372	-0.280	0.130	0.596	-0.532	-0.060
38	4	17	0.493	0.153	0.001	88.98	0.268	0.660	191	57856.40	-0.322	-0.197	-0.205	4.571	0.412	0.796	0.010	-0.203	-0.063	-0.649	0.012
18	2	17	0.510	0.237	0.001	87.53	0.264	0.697	195	38518.40	-0.221	-0.522	-0.136	6.584	-0.149	0.203	0.326	-0.293	0.246	-0.536	0.231
64	7	13	0.542	0.138	0.001	84.81	0.248	0.448	233	72937.20	-0.054	-0.238	-0.161	2.219	-0.336	0.116	0.096	0.610	0.280	-0.426	-0.081
10	1	19	0.545	0.256	0.001	89.90	0.295	0.737	165	71746.00	-0.222	-0.530	-0.369	12.82	0.961	0.063	-0.041	-0.172	0.741	-0.743	-0.268
