ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399997.SZ,20160614,3106.02,3006.944,3106.215,3006.944,3013.291,92.729,3.0773,1308844.95,3515636.814
399997.SZ,20160615,3191.014,3078.62,3208.887,3070.191,3106.02,84.994,2.7364,1748018.6,4788911.287
399997.SZ,20160616,3215.985,3176.979,3262.031,3172.444,3191.014,24.971,0.7825,1970130.79,4919842.768
399997.SZ,20160617,3288.523,3214.082,3318.795,3214.082,3215.985,72.538,2.2555,2075754.05,6055964.461
399997.SZ,20160620,3259.698,3276.779,3277.876,3215.15,3288.523,-28.825,-0.8765,1540104.77,4377526.046
399997.SZ,20160621,3204.161,3268.92,3271.343,3191.269,3259.698,-55.537,-1.7037,1123963.09,3042164.513
399997.SZ,20160622,3238.295,3184.057,3241.455,3184.057,3204.161,34.134,1.0653,875401.47,2675749.315
399997.SZ,20160623,3222.476,3232.788,3258.342,3185.987,3238.295,-15.819,-0.4885,1055093.89,2996037.894
399997.SZ,20160624,3182.81,3210.419,3233.484,3110.768,3222.476,-39.666,-1.2309,1233409.3,3578378.136
399997.SZ,20160627,3297.603,3172.133,3304.273,3172.133,3182.81,114.793,3.6067,1362998.11,5203716.621
399997.SZ,20160628,3290.757,3281.692,3299.122,3253.935,3297.603,-6.846,-0.2076,987708.24,3218596.013
399997.SZ,20160629,3265.476,3293.511,3299.281,3244.156,3290.757,-25.281,-0.7682,847650.86,2887558.131
399997.SZ,20160630,3308.959,3274.827,3380.103,3274.827,3265.476,43.483,1.3316,1657679.07,5308685.492
399997.SZ,20160701,3275.222,3289.858,3315.196,3266.984,3308.959,-33.737,-1.0196,889239.13,2993617.836
399997.SZ,20160704,3315.147,3265.118,3328.064,3257.008,3275.222,39.925,1.219,1255208.38,4126197.16
399997.SZ,20160705,3350.762,3317.409,3372.126,3317.152,3315.147,35.615,1.0743,1733668.88,5783492.378
399997.SZ,20160706,3588.089,3339.88,3592.878,3335.59,3350.762,237.327,7.0828,3358155.76,10709849.85
399997.SZ,20160707,3522.504,3561.919,3603.119,3508.975,3588.089,-65.585,-1.8279,2340989.72,8042471.705
399997.SZ,20160708,3528.124,3506.978,3539.928,3472.049,3522.504,5.62,0.1595,1588652.12,5933148.948
399997.SZ,20160711,3628.87,3523.719,3760.171,3522.488,3528.124,100.746,2.8555,3165625.83,11051179.77
399997.SZ,20160712,3671.029,3611.664,3740.999,3611.523,3628.87,42.159,1.1618,2875250.12,9833409.971
399997.SZ,20160713,3593.599,3650.647,3652.404,3555.409,3671.029,-77.43,-2.1092,2680166.8,8142697.378
399997.SZ,20160714,3568.978,3582.58,3628.906,3535.29,3593.599,-24.621,-0.6851,1851172.28,5725666.359
399997.SZ,20160715,3577.05,3567.168,3583.579,3531.526,3568.978,8.072,0.2262,1587384.88,5172562.608
399997.SZ,20160718,3525.665,3553.316,3562.503,3512.807,3577.05,-51.385,-1.4365,1491601.44,4631408.605
399997.SZ,20160719,3424.391,3526.243,3526.646,3388.38,3525.665,-101.274,-2.8725,2264494.13,7650088.502
399997.SZ,20160720,3421.517,3428.045,3447.383,3410.762,3424.391,-2.874,-0.0839,1365543.19,4208603.994
399997.SZ,20160721,3450.728,3423.575,3483.114,3423.575,3421.517,29.211,0.8537,1605127.75,5447620.199
399997.SZ,20160722,3368.071,3440.54,3441.734,3360.919,3450.728,-82.657,-2.3953,1452934.28,4876646.898
399997.SZ,20160725,3383.743,3349.736,3414.921,3349.158,3368.071,15.672,0.4653,1171485.64,4017527.3
399997.SZ,20160726,3478.544,3381.33,3479.571,3371.587,3383.743,94.801,2.8017,1656645.82,5534708.818
399997.SZ,20160727,3385.26,3473.051,3479.645,3316.417,3478.544,-93.284,-2.6817,1968717.47,6426380.989
399997.SZ,20160728,3420.998,3366.272,3466.359,3358.943,3385.26,35.738,1.0557,1588390.66,5600328.147
399997.SZ,20160729,3422.861,3423.279,3486.785,3409.105,3420.998,1.863,0.0545,1316598.68,4684294.506
399997.SZ,20160801,3299.288,3410.379,3410.379,3276.943,3422.861,-123.573,-3.6102,1488823.07,4851502.238
399997.SZ,20160802,3301.851,3291.818,3319.012,3260.743,3299.288,2.563,0.0777,993462.98,3454920.317
399997.SZ,20160803,3305.613,3295.606,3321.867,3280.577,3301.851,3.762,0.1139,731461.21,2692331.762
399997.SZ,20160804,3308.693,3303.211,3315.685,3275.046,3305.613,3.08,0.0932,737114.08,2593423.909
399997.SZ,20160805,3286.281,3303.912,3322.388,3284.666,3308.693,-22.412,-0.6774,699328,2497110.194
399997.SZ,20160808,3336.888,3284.517,3337.167,3252.159,3286.281,50.607,1.5399,1183363.53,3800317.539
399997.SZ,20160809,3403.716,3326.621,3426.134,3321.624,3336.888,66.828,2.0027,1405621.7,4940039.423
399997.SZ,20160810,3385.719,3393.026,3406.606,3378.149,3403.716,-17.997,-0.5287,869108.77,2941708.02
399997.SZ,20160811,3386.729,3385.403,3442.11,3385.326,3385.719,1.01,0.0298,1327655.59,4698595.475
399997.SZ,20160812,3379.652,3366.254,3379.652,3323.815,3386.729,-7.077,-0.209,1001942.38,3453936.925
399997.SZ,20160815,3450.788,3376.685,3474.531,3366.49,3379.652,71.136,2.1048,1648462.72,5743424.57
399997.SZ,20160816,3394.908,3465.603,3482.25,3386.943,3450.788,-55.88,-1.6193,2384094.09,8277868.514
399997.SZ,20160817,3396.49,3402.107,3440.869,3379.265,3394.908,1.582,0.0466,1375609.66,5121463.302
399997.SZ,20160818,3373.707,3388.061,3403.948,3364.977,3396.49,-22.783,-0.6708,1057592.52,3730735.217
399997.SZ,20160819,3353.944,3367.473,3381.552,3345.183,3373.707,-19.763,-0.5858,735137.67,2520852.357
399997.SZ,20160822,3348.308,3348.476,3377.538,3333.385,3353.944,-5.636,-0.168,1029790.67,3341295.037
399997.SZ,20160823,3337.635,3346.057,3372.25,3316.32,3348.308,-10.673,-0.3188,896374.29,3091902.162
399997.SZ,20160824,3320.155,3331.972,3343.177,3310.334,3337.635,-17.48,-0.5237,790543.71,2923632.551
399997.SZ,20160825,3300.016,3306.967,3307.059,3273.59,3320.155,-20.139,-0.6066,834799.02,2915477.051
399997.SZ,20160826,3288.16,3303.023,3313.93,3283.618,3300.016,-11.856,-0.3593,665940.82,2340013.714
399997.SZ,20160829,3283.754,3300.542,3308.116,3276.546,3288.16,-4.406,-0.134,673334.65,3028377.017
399997.SZ,20160830,3289.993,3285.261,3305.906,3278.202,3283.754,6.239,0.19,819644.15,2649281.727
399997.SZ,20160831,3323.962,3305.648,3333.23,3305.552,3289.993,33.969,1.0325,1215262.74,4255773.942
399997.SZ,20160901,3282.16,3327.159,3331.667,3281.809,3323.962,-41.802,-1.2576,1034029.89,3245801.476
399997.SZ,20160902,3244.248,3272.8,3283.392,3238.485,3282.16,-37.912,-1.1551,925362.13,2961388.24
399997.SZ,20160905,3255.755,3246.235,3274.01,3238.537,3244.248,11.507,0.3547,642141.41,2239783.011
399997.SZ,20160906,3288.393,3256.297,3288.41,3227.469,3255.755,32.638,1.0025,894270.38,2904208.09
399997.SZ,20160907,3259.323,3286.081,3286.081,3250.513,3288.393,-29.07,-0.884,1031511.69,3801142.163
399997.SZ,20160908,3253.62,3256.306,3263.439,3242.212,3259.323,-5.703,-0.175,770677.78,2666708.983
399997.SZ,20160909,3220.472,3257.621,3263.529,3219.334,3253.62,-33.148,-1.0188,735603.81,2497591.65
399997.SZ,20160912,3110.229,3170.451,3186.603,3110.229,3220.472,-110.243,-3.4232,1217810.05,4338903.44
399997.SZ,20160913,3127.234,3126.627,3135.979,3106.287,3110.229,17.005,0.5467,660804.9,2193417.147
399997.SZ,20160914,3110.74,3115.53,3125.198,3095.936,3127.234,-16.494,-0.5274,582955.32,2009865.549
