date,time,open,high,low,close
20160519,110000,890.0,891.6599699999998,887.4799800000002,888.0
20160519,120000,888.5200199999998,889.5499900000002,887.3400300000002,888.94
20160519,140000,887.39001,888.5399800000001,885.1599699999998,885.73999
20160519,150000,885.9099699999998,886.85999,882.7700199999998,883.13
20160519,160000,883.63,884.25,881.7000099999998,883.9099699999998
20160523,90000,885.4199800000001,886.3200099999998,885.14001,885.14001
20160523,100000,884.9299900000002,885.5800199999999,878.63,881.85999
20160523,110000,881.5499900000002,883.1699800000001,879.5200199999998,879.87
20160523,120000,879.9000199999998,882.2299800000002,879.5,881.5700099999998
20160523,140000,879.7700199999998,880.98999,878.9299900000002,880.4799800000002
20160523,150000,880.51001,883.85999,879.73999,880.0900300000002
20160523,160000,880.0499900000002,881.7999900000002,879.2299800000002,881.7999900000002
20160524,90000,881.7100199999999,883.7100199999999,881.7100199999999,883.1599699999998
20160524,100000,883.1500199999998,883.1500199999998,877.4799800000002,879.4199800000001
20160524,110000,878.94,880.4199800000001,877.25,878.3300199999999
20160524,120000,877.85999,879.88,877.31,879.39001
20160524,140000,879.2800300000001,883.26001,879.2800300000001,879.5800199999999
20160524,150000,880.0499900000002,882.75,880.0499900000002,881.51001
20160524,160000,881.0300300000001,884.2199699999999,880.4299900000002,882.25
20160525,90000,890.31,890.3300199999999,890.31,890.3300199999999
20160525,100000,890.0700099999998,891.75,888.0399800000001,888.48999
20160525,110000,888.6699800000001,889.3499800000002,886.8499800000002,887.5499900000002
20160525,120000,887.7899800000001,888.98999,887.2999900000002,888.0399800000001
20160525,140000,888.8200099999998,889.1500199999998,886.4699699999999,887.0
20160525,150000,887.4000199999998,890.4699699999999,887.0300300000001,890.01001
20160525,160000,889.5499900000002,892.2100199999999,889.5499900000002,891.6799900000002
20160526,90000,892.1599699999998,893.10999,892.1599699999998,892.75
20160526,100000,892.2800300000001,894.4099699999998,891.44,893.48999
20160526,110000,893.10999,893.3400300000002,890.9600199999999,892.8499800000002
20160526,120000,892.5300300000001,893.0399800000001,891.4600199999999,891.7000099999998
20160526,140000,893.0,894.6500199999998,890.7299800000002,894.01001
20160526,150000,893.7800300000001,895.9600199999999,892.62,894.8499800000002
20160526,160000,894.9699699999999,895.63,893.7800300000001,893.7800300000001
20160527,90000,893.8300199999999,894.5999800000002,893.7999900000002,894.0700099999998
20160527,100000,893.7199699999999,895.5900300000002,892.0900300000002,894.4500099999998
20160527,110000,894.5800199999999,899.6699800000001,894.0200199999998,898.7000099999998
20160527,120000,898.35999,900.3300199999999,898.0999800000002,899.5200199999998
20160527,140000,899.1799900000002,899.4299900000002,897.3200099999998,899.0200199999998
20160527,150000,898.4500099999998,900.26001,897.6599699999998,899.75
20160527,160000,899.6699800000001,903.13,899.2700199999998,903.13
20160530,90000,911.60999,911.65997,910.07001,910.84003
20160530,100000,910.75,913.40997,910.09003,911.59003
20160530,110000,911.70001,912.81,910.14001,911.08002
20160530,120000,911.10999,913.26001,910.64001,912.70001
20160530,140000,912.90997,912.90997,906.98999,908.85999
20160530,150000,909.26001,911.79999,908.51001,911.79999
20160530,160000,911.77002,912.47998,909.92999,911.90997
20160531,90000,913.89001,914.07001,913.89001,914.07001
20160531,100000,913.46002,914.28998,909.62,912.06
20160531,110000,911.71997,912.21997,907.66998,910.57001
20160531,120000,910.14001,911.15997,909.35999,910.44
20160531,140000,909.82001,910.87,908.59003,908.95001
20160531,150000,908.79999,911.01001,907.53003,909.48999
20160531,160000,909.63,913.38,909.56,911.10999
20160601,90000,909.37,909.85999,908.98999,909.85999
20160601,100000,910.09998,913.26001,909.81,912.46002
20160601,110000,912.88,913.44,910.01001,911.14001
20160601,120000,910.53003,910.65002,908.48999,909.82001
20160601,140000,908.97998,908.97998,905.64001,907.25
20160601,150000,907.03003,909.59003,906.33002,907.57001
20160601,160000,907.59003,907.96002,903.25,903.25
20160602,90000,904.71997,905.04999,904.31,905.03003
20160602,100000,904.45001,907.33002,904.45001,905.96002
20160602,110000,906.90997,909.64001,906.26001,909.21997
20160602,120000,908.91998,910.40997,908.28003,909.42999
20160602,140000,909.83002,911.21997,907.13,908.21002
20160602,150000,908.81,912.5,907.5,911.52002
20160602,160000,912.40002,912.71997,907.14001,907.14001
20160603,90000,911.98999,912.38,911.54999,912.33002
20160603,100000,912.38,913.48999,910.94,910.94
20160603,110000,911.22998,912.39001,909.53998,911.65002
20160603,120000,911.31,912.73999,910.26001,911.03998
20160603,140000,912.08002,913.64001,911.72998,913.16998
20160603,150000,913.09003,916.70001,912.31,916.25
20160603,160000,915.96997,917.31,915.25,916.77002
20160606,90000,920.23999,920.34003,919.67999,920.34003
20160606,100000,920.70001,923.02002,920.17999,922.14001
20160606,110000,922.26001,923.71997,920.96002,921.71997
20160606,120000,922.03003,923.06,920.76001,923.06
20160606,140000,921.81,923.28998,920.83002,921.65997
20160606,150000,921.84998,922.40002,919.83002,921.75
20160606,160000,921.28003,922.12,919.96997,920.90002
20160607,90000,925.13,925.60999,925.13,925.60999
20160607,100000,925.14001,926.65997,924.09003,925.53003
20160607,110000,925.48999,925.85999,922.76001,923.04999
20160607,120000,923.96002,925.63,923.39001,925.62
20160607,140000,925.57001,926.28003,924.20001,925.21002
20160607,150000,924.96997,925.98999,919.58002,921.32001
20160607,160000,921.09998,922.78998,920.16998,921.02002
20160608,90000,921.82001,922.21997,921.82001,922.13
20160608,100000,921.87,922.96002,917.44,919.26001
20160608,110000,919.57001,921.15997,917.72998,918.58002
20160608,120000,918.44,919.54999,917.79999,918.33002
20160608,140000,917.92999,918.84998,917.01001,917.01001
20160608,150000,917.48999,919.63,915.66998,918.88
20160608,160000,919.04999,923.92999,919.04999,923.13
20160609,90000,925.92999,926.97998,925.89001,926.41998
20160609,100000,926.53003,926.73999,922.5,922.5
20160609,110000,922.54999,925.21997,922.34003,924.83002
20160609,120000,925.01001,925.40997,923.94,924.33002
20160609,140000,923.69,923.87,920.40997,920.96997
20160609,150000,920.96002,921.03998,919.09998,919.10999
20160609,160000,919.59003,920.06,914.25,914.25
20160610,90000,913.22998,913.22998,913.22998,913.22998
