Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-09-24,1152,1158.2,1149.5,1153,1152.9,-3.7,-0.32%,3006,8355
2018-09-25,1151.5,1161,1151.2,1157.6,1157.5,4.6,0.40%,2885,8403
2018-09-26,1160.5,1160.5,1153.7,1155.8,1156.1,-1.4,-0.12%,2913,8771
2018-09-27,1154.6,1157,1144.7,1156.6,1156.5,0.4,0.03%,9921,10450
2018-09-28,1157.8,1160,1154.2,1156.7,1157,0.5,0.04%,5006,11068
2018-10-01,1162.5,1163.1,1159.4,1161.8,1161.7,4.7,0.41%,3554,11105
2018-10-02,1159,1159,1144,1149.5,1150.4,-11.3,-0.97%,14448,13882
2018-10-03,1153,1154.7,1144.3,1145.4,1145.4,-5,-0.43%,8740,14652
2018-10-04,1140,1142.9,1133.3,1136.6,1137,-8.4,-0.73%,10809,16354
2018-10-05,1132.1,1136,1127.8,1130.3,1130.6,-6.4,-0.56%,10243,17705
2018-10-08,1126,1134,1109.7,1110.1,1110.4,-20.2,-1.79%,17314,19660
2018-10-09,1113,1119.5,1106.3,1113.4,1113.6,3.2,0.29%,12051,19845
2018-10-10,1119.4,1130.5,1119.4,1130,1130.1,16.5,1.48%,11625,19334
2018-10-11,1095,1106,1088.8,1103.4,1103.7,-26.4,-2.34%,20574,19144
2018-10-12,1108,1115,1106.6,1110.1,1110.4,6.7,0.61%,8397,19173
2018-10-16,1112.9,1113,1105.7,1111,1111.4,1,0.09%,4215,19085
2018-10-17,1122,1122.5,1108.3,1108.7,1108.8,-2.6,-0.23%,6789,19155
2018-10-18,1105.9,1111.4,1102.6,1105.5,1105.6,-3.2,-0.29%,8070,19226
2018-10-19,1102,1105.5,1092.1,1093.8,1094,-11.6,-1.05%,12530,20006
2018-10-22,1095.1,1098.5,1088.4,1090.5,1090.5,-3.5,-0.32%,8421,20654
2018-10-24,1082,1082.8,1063,1066.7,1066.8,-23.7,-2.17%,16104,21436
2018-10-25,1051.3,1085.8,1046.3,1083,1083.4,16.6,1.56%,22590,20249
2018-10-26,1074,1076.6,1059.7,1059.7,1061.2,-22.2,-2.05%,13470,20614
2018-10-29,1066.4,1079.4,1063.3,1078.4,1078.5,17.3,1.63%,10627,20545
2018-10-30,1077.9,1081.1,1072,1076.4,1076.7,-1.8,-0.17%,7612,20691
2018-10-31,1085.8,1099.4,1082.6,1096.2,1096.5,19.8,1.84%,11683,20648
2018-11-01,1101.2,1103,1091.8,1097.8,1098,1.5,0.14%,11408,21403
2018-11-02,1104,1111.8,1100.7,1105.7,1105.4,7.4,0.67%,14284,20219
2018-11-05,1098,1101.4,1095,1101.1,1100.3,-5.1,-0.46%,6244,20538
2018-11-06,1104,1110,1096.1,1097.5,1096.9,-3.4,-0.31%,10877,20977
2018-11-07,1102.4,1111,1089.2,1110.5,1110,13.1,1.19%,17598,21197
2018-11-08,1117.9,1117.9,1106.3,1106.6,1107.1,-2.9,-0.26%,12355,21322
2018-11-09,1100.1,1106,1099,1102.5,1102.2,-4.9,-0.44%,8656,21137
2018-11-12,1102.2,1104,1091.2,1094.8,1094.5,-7.7,-0.70%,6654,21359
2018-11-13,1085,1102.5,1082.9,1094,1094.1,-0.4,-0.04%,13078,21234
2018-11-14,1088.5,1097,1087,1096.6,1096.1,2,0.18%,7516,21328
2018-11-15,1095.3,1099.4,1081,1081.1,1081.7,-14.4,-1.31%,10315,21743
2018-11-16,1081,1089.1,1081,1084.4,1084.5,2.8,0.26%,7758,21815
2018-11-19,1083.2,1088.3,1079.6,1085.3,1086.2,1.7,0.16%,4728,21895
2018-11-20,1080,1080.9,1069.3,1069.7,1070,-16.2,-1.49%,8273,22381
2018-11-21,1064,1077.9,1063,1074.8,1074.9,4.9,0.46%,9549,22614
2018-11-22,1071.5,1074.9,1061,1062,1062.6,-12.3,-1.14%,9509,23323
2018-11-23,1063,1079.7,1058.7,1075.7,1076,13.4,1.26%,13111,24050
2018-11-26,1074.9,1083.4,1072.1,1082.4,1082.8,6.8,0.63%,6982,24516
2018-11-27,1080,1084.6,1078.2,1083,1083.3,0.5,0.05%,6172,24370
2018-11-28,1085,1089.5,1085,1087.5,1086.4,3.1,0.29%,7471,24690
