date,code,open,high,low,close,vol,PE,ROE,marketdays
2011-02-28,000016.SZ,50.15739109,52.49739108000001,49.75043457,51.886956299999994,34148851.0,58.14149856567383,2.1323,6912
2011-03-01,000016.SZ,51.68347804,51.78521717,50.66608674,51.47999978,19867056.0,57.68548965454102,2.1323,6913
2011-03-02,000016.SZ,51.27652152,51.27652152,50.15739109,50.97130413,14300998.000000002,57.11547470092773,2.1323,6914
2011-03-03,000016.SZ,50.97130413,51.27652152,50.15739109,50.15739109,11961408.0,56.20344924926758,2.1323,6915
2011-03-04,000016.SZ,50.15739109,50.869565,50.05565196000001,50.46260848,7869520.0,56.54545974731445,2.1323,6916
2011-03-07,000016.SZ,50.869565,51.27652152,50.46260848,51.07304326,15194948.000000002,57.22947692871094,2.1323,6919
2011-03-08,000016.SZ,51.07304326,51.78521717,50.869565,51.47999978,13008274.0,57.68548965454102,2.1323,6920
2011-03-09,000016.SZ,51.47999978,51.886956299999994,51.17478239,51.27652152,12009631.0,57.457481384277344,2.1323,6921
2011-03-10,000016.SZ,51.07304326,51.17478239,50.15739109,50.46260848,11052246.0,56.54545974731445,2.1323,6922
2011-03-11,000016.SZ,49.85217370000001,50.97130413,49.85217370000001,50.15739109,8616356.0,56.20344924926758,2.1323,6923
2011-03-14,000016.SZ,50.15739109,51.07304326,49.95391283000001,50.869565,10211695.0,57.00146865844727,2.1323,6926
2011-03-15,000016.SZ,50.97130413,50.97130413,48.63130414000001,49.24173892,18438402.0,55.17742156982422,2.1323,6927
2011-03-16,000016.SZ,49.24173892,54.12521716000001,48.834782399999995,54.12521716000001,97105415.0,60.64956283569336,2.1323,6928
2011-03-17,000016.SZ,52.80260847000001,53.00608673,50.76782587,51.07304326,68864483.0,57.22947692871094,2.1323,6929
2011-03-18,000016.SZ,51.17478239,51.47999978,50.46260848,50.97130413,19070776.0,57.11547470092773,2.1323,6930
2011-03-21,000016.SZ,50.46260848,50.97130413,50.05565196000001,50.36086935,13721869.0,56.43145370483398,2.1323,6933
2011-03-22,000016.SZ,50.36086935,50.56434761,49.44521718000001,50.15739109,9168821.0,56.20344924926758,2.1323,6934
2011-03-23,000016.SZ,49.95391283000001,50.66608674,49.95391283000001,50.56434761,8446358.0,56.659461975097656,2.1323,6935
2011-03-24,000016.SZ,50.56434761,51.17478239,50.36086935,50.46260848,10121797.0,56.54545974731445,2.1323,6936
2011-03-25,000016.SZ,50.25913022000001,50.97130413,50.25913022000001,50.869565,10965872.0,57.00146865844727,2.1323,6937
2011-03-28,000016.SZ,50.97130413,51.68347804,50.869565,51.27652152,15632931.0,57.457481384277344,2.1323,6940
2011-03-29,000016.SZ,51.17478239,52.09043456000001,50.56434761,51.37826065,21060624.0,57.57148361206055,2.1323,6941
2011-03-30,000016.SZ,51.68347804,51.886956299999994,51.07304326,51.17478239,14140579.0,57.34347915649414,2.1323,6942
